Date,GDP251  ,PI074   ,FYFF    ,PSCCOMR ,FMRNBA  ,FMRRA   ,FM2,GDP252  ,IPS10   ,UTL11   ,LHUR    ,HSFR    ,PWFSA   ,GDP273  ,CES275R  ,FM1     ,FSPIN   ,FYGT10  ,EXRUS   ,CES002  ,Sfygt10,HHSNTN  ,PMI     ,PMDEL   ,PMCP    ,GDP256  ,LBOUT   ,PMNV    ,GDP263  ,GDP264  ,GDP265  ,LBMNU   ,PMNO    ,CCINRV  ,BUSLOANS,PMP     ,GDP276_1,GDP270  ,GDP253  ,LHEL    
5\1\1967,2.46E-05,0.001527587,-0.833333333,-0.015804122,-0.005008656,-0.001380222,0.003310477,0.005775565,-0.001773905,86.7784,0,3.084337917,0.003271525,0.000918311,0.001930627,0.001692547,0.025165793,0.236666667,-0.000320256,0.000248787,1.16,-0.8,44.7,35.93333333,56.93333333,-0.018891016,0.003475071,39.56666667,-0.003959825,-0.003369493,-0.002362185,-0.002668446,48.6,-0.000926674,0.003746281,47.66666667,-0.000812031,0.004608143,0.018902044,-1.333333333
8\1\1967,0.003432304,0.001716192,-0.096666667,-0.012892292,-0.000328812,0.006514196,0.0013527,0.002206208,0.002977206,85.95453333,-0.033333333,3.145300019,0.002022331,0.001836713,0.003576381,0.003482027,0.015279462,0.426666667,-0.000146863,0.002780437,0.946666667,0.2,52.2,44.06666667,68.86666667,0.012333354,0.000194172,42.2,-0.010701766,0.005793254,0.004475003,0.001423549,57.03333333,0.002303574,-0.00147816,55.73333333,0.000329611,0.003045153,-0.004067392,-0.333333333
11\1\1967,0.00327211,0.000384665,0.28,-0.009944082,-0.000199943,0.002754897,-0.002546831,0.002606227,0.011468479,87.3031,0.1,3.160068167,-0.001639055,-0.000239591,0.00171618,-0.002417769,0.003726782,0.396666667,0.004569466,0.003496172,0.89,-2.9,54.63333333,50.8,80.7,0.009265593,0.00117013,48.73333333,0.012209288,0.022466261,0.002977509,0.001971511,57.4,0.000564712,-0.003577324,58.33333333,0.000554471,0.004269531,0.00075791,1.666666667
2\1\1968,0.008852444,-0.000473993,0.613333333,0.000455348,-0.017166469,-0.010546643,-0.001712318,0.010219473,0.006155397,87.32873333,-0.166666667,3.162962477,0.001192026,0.000845319,0.005167199,-0.001363638,-0.01539411,-0.033333333,0.006114338,0.002900422,0.56,1.466666667,55.13333333,52.83333333,76.8,0.009444478,0.009540207,53.06666667,0.012446478,0.024677835,0.007478416,0.000768762,57.46666667,-0.005383459,0.004059695,57.73333333,0.000441581,0.009609297,0.027013802,1
5\1\1968,0.007311706,-4.13E-05,1.193333333,-0.011892799,-0.004513645,-0.003615163,-0.000284345,0.006630775,0.005815549,87.28433333,-0.166666667,3.163061937,0.000769664,-0.00019303,0.002791836,0.001701451,0.032212769,0.133333333,-0.000443211,0.003860699,0.223333333,-3.066666667,55.6,49.43333333,70.36666667,0.017171048,0.004408162,54.63333333,0.008547016,0.006592508,0.001966457,0.004148822,58.33333333,0.008582438,0.000894071,58.33333333,0.000453213,0.004231323,0.008185898,2.333333333
8\1\1968,0.002943907,0.001617149,-0.036666667,-0.009815711,0.026455696,0.010315745,0.00125801,0.008086007,0.003357192,86.68153333,-0.033333333,3.182129214,-0.000429005,8.08E-05,0.000703078,0.001011187,0.007095005,-0.283333333,-0.000822441,0.003806101,0.263333333,-0.5,52.86666667,50.7,71.26666667,-0.014379057,9.37E-05,50.8,0.02480804,0.025316739,0.000940459,0.003026412,54.56666667,-0.00032855,-0.000118688,56.53333333,-0.000576323,0.006158965,0.019275773,3
11\1\1968,0.001828416,-0.000485578,-0.026666667,0.01064505,-0.010160718,-0.002480463,0.001596734,0.001923429,0.006545191,87.11186667,-0.133333333,3.199297977,-0.000809215,0.000361111,0.003524866,0.000877357,0.022816831,0.31,-0.000575328,0.004562929,0.183333333,2.2,56.66666667,57.53333333,72.36666667,0.004433671,-0.000690085,44.7,-0.005551545,-0.003693412,0.000286758,0.002672552,58.83333333,0.002839252,0.002780077,60.5,0.000630532,0.002801721,-0.002897037,4.666666667
2\1\1969,0.006794494,-6.50E-05,0.65,0.018239388,-0.013003388,-0.006032044,-0.002595852,0.004845579,0.008368102,87.68773333,0,3.22487822,-0.000405493,-0.000614145,0.003511868,-0.001498856,-0.019028701,0.406666667,0.00047078,0.004515487,0.083333333,4.466666667,56.33333333,61.4,78.7,0.027708233,0.001572866,46.03333333,-0.055527973,-0.042953334,0.000472737,0.004050238,57.2,-0.001296543,0.00426901,58.33333333,-0.000106982,0.005134278,0.007974057,2.666666667
5\1\1969,0.00123742,0.001528884,1.76,0.014676544,-0.005764933,0.000665383,-0.003546689,0.002739572,0.00189119,86.94356667,0.033333333,3.188928484,0.003834235,0.001327824,0.002501417,-0.004295182,0.005868226,0.176666667,0.000548599,0.004431615,0.156666667,-5.166666667,55.8,65.26666667,79.66666667,-0.003448755,-0.000434478,49.23333333,0.087820181,0.07815932,-0.001858093,0.004000926,54.9,-0.000685369,-0.002823614,56.1,0.000453259,0.001567644,-0.001407901,0
8\1\1969,0.002689698,-0.000888292,0.656666667,0.007428783,0.015760643,-0.001343349,-0.001054198,0.001991592,0.005181977,86.86606667,0.133333333,3.149527014,-0.001599688,-0.000156,0.003392162,-0.001531156,-0.030670089,0.503333333,0.001992628,0.003509555,-0.166666667,-5.033333333,54,68.3,82.83333333,0.009991341,0.001082046,49.86666667,-0.010531344,-0.005688091,0.000603496,0.002075471,50.56666667,-0.003856853,-0.008340841,53.36666667,0.001150867,0.002478215,-0.001198173,-1.666666667
